hebrew,transliteration,root,pos,gender,verb_group,pattern,number,other_descriptors,translation,pos_raw,entry_url,page
לִכְרוֹעַ,lichroa,כ - ר - ע,Verb,,pa'al,,,,"to bow down, to kneel",Verb – pa'al,https://www.pealim.com/dict/4075-lichroa/,256
כֶּרַע,kera,כ - ר - ע,Noun,feminine,,ketel,,,"thigh (poultry), leg (furniture)","Noun – ketel pattern, feminine",https://www.pealim.com/dict/4076-kera/,256
לְהַכְרִיעַ,lehachria,כ - ר - ע,Verb,,hif'il,,,,to subdue; to decide,Verb – hif'il,https://www.pealim.com/dict/951-lehachria/,256
כַּרְפַּס,karpas,-,Noun,,,,,,celery,Noun,https://www.pealim.com/dict/7278-karpas/,256
כַּר,kar,כ - ר - ר,Noun,masculine,,ketel,,,"pillow, cushion (rare)","Noun – ketel pattern, masculine",https://www.pealim.com/dict/7307-kar/,256
כָּרִית,karit,כ - ר - ר,Noun,feminine,,,,,"cushion, pillow",Noun – feminine,https://www.pealim.com/dict/7308-karit/,256
לְהִיכָּרֵת,lehikaret,כ - ר - ת,Verb,,nif'al,,,,"to be cut off, amputated",Verb – nif'al,https://www.pealim.com/dict/953-lehikaret/,256
לִכְרוֹת,lichrot,כ - ר - ת,Verb,,pa'al,,,,"to cut down, to cut off",Verb – pa'al,https://www.pealim.com/dict/952-lichrot/,257
לְהַכְרִית,lehachrit,כ - ר - ת,Verb,,hif'il,,,,"to destroy, to eliminate; to cease, to cancel (biblical)",Verb – hif'il,https://www.pealim.com/dict/7152-lehachrit/,257
תַּכְשִׁיט,tachshit,כ - שׁ - ט,Noun,masculine,,taktil,,,piece of jewellery; naughty child (slang),"Noun – taktil pattern, masculine",https://www.pealim.com/dict/4022-tachshit/,257
לְכַשְׁכֵּשׁ,lechashkesh,כ - שׁ - כ - שׁ,Verb,,pi'el,,,,"to wag, to wave (tail)",Verb – pi'el,https://www.pealim.com/dict/5147-lechashkesh/,257
לְהִיכָּשֵׁל,lehikashel,כ - שׁ - ל,Verb,,nif'al,,,,to stumble; to fail,Verb – nif'al,https://www.pealim.com/dict/954-lehikashel/,257
מִכְשׁוֹל,michshol,כ - שׁ - ל,Noun,masculine,,miktol,,,"obstacle, hindrance","Noun – miktol pattern, masculine",https://www.pealim.com/dict/3632-michshol/,257
כִּישָּׁלוֹן,kishalon,כ - שׁ - ל,Noun,masculine,,kittalon,,,failure,"Noun – kittalon pattern, masculine",https://www.pealim.com/dict/3894-kishalon/,257
כֶּשֶׁל,keshel,כ - שׁ - ל,Noun,masculine,,ketel,,,failure; malfunction,"Noun – ketel pattern, masculine",https://www.pealim.com/dict/4985-keshel/,257
מַכְשֵׁלָה,machshela,כ - שׁ - ל,Noun,feminine,,maktela,,,"obstacle, hindrance, impediment","Noun – maktela pattern, feminine",https://www.pealim.com/dict/8168-machshela/,257
לְהַכְשִׁיל,lehachshil,כ - שׁ - ל,Verb,,hif'il,,,,to cause to fail; to thwart,Verb – hif'il,https://www.pealim.com/dict/955-lehachshil/,257
לִכְשׁוֹל,lichshol,כ - שׁ - ל,Verb,,pa'al,,,,"to stumble, to trip; to fail",Verb – pa'al,https://www.pealim.com/dict/4984-lichshol/,257
כִּישּׁוּף,kishuf,כ - שׁ - ף,Noun,masculine,,kittul,,,"sorcery, magic","Noun – kittul pattern, masculine",https://www.pealim.com/dict/2972-kishuf/,257
מְכַשֵּׁף,mechashef,כ - שׁ - ף,Noun,masculine,,mekattel,,,"sorcerer, magician","Noun – mekattel pattern, masculine",https://www.pealim.com/dict/8172-mechashef/,257
לְכַשֵּׁף,lechashef,כ - שׁ - ף,Verb,,pi'el,,,,"to enchant, to cast a spell upon",Verb – pi'el,https://www.pealim.com/dict/956-lechashef/,257
כָּשֵׁר,kasher,כ - שׁ - ר,Adjective,,,katel,,,"fit, appropriate, kosher",Adjective – katel pattern,https://www.pealim.com/dict/2765-kasher/,257
לִכְשׁוֹר,lichshor,כ - שׁ - ר,Verb,,pa'al,,,,to succeed; to be appropriate,Verb – pa'al,https://www.pealim.com/dict/2764-lichshor/,258
תַּכְשִׁיר,tachshir,כ - שׁ - ר,Noun,masculine,,taktil,,,"preparation (chemistry, biology)","Noun – taktil pattern, masculine",https://www.pealim.com/dict/3608-tachshir/,258
כַּשְׁרוּת,kashrut,כ - שׁ - ר,Noun,feminine,,katlut,,,kashrut (religious law),"Noun – katlut pattern, feminine",https://www.pealim.com/dict/3644-kashrut/,258
הֶכְשֵׁר,hechsher,כ - שׁ - ר,Noun,masculine,,hektel,,,"hechsher, kashrut certificate","Noun – hektel pattern, masculine",https://www.pealim.com/dict/3895-hechsher/,258
כּוֹשֶׁר,kosher,כ - שׁ - ר,Noun,masculine,,kotel,,,"ability, fitness, capability; 🏋️ physical fitness","Noun – kotel pattern, masculine",https://www.pealim.com/dict/7433-kosher/,258
מוּכְשָׁר,muchshar,כ - שׁ - ר,Adjective,,,muktal,,,"talented; trained, qualified, prepared",Adjective – muktal pattern,https://www.pealim.com/dict/7703-muchshar/,258
מַכְשִׁיר,machshir,כ - שׁ - ר,Noun,masculine,,maktil,,,"appliance, device, gadget, tool","Noun – maktil pattern, masculine",https://www.pealim.com/dict/7867-machshir/,258
כִּשְׁרוֹן,kishron,כ - שׁ - ר,Noun,masculine,,kitlon,,,"talent, aptitude","Noun – kitlon pattern, masculine",https://www.pealim.com/dict/3587-kishron/,258
לְהַכְשִׁיר,lehachshir,כ - שׁ - ר,Verb,,hif'il,,,,"to prepare, to train; to authorise as kosher",Verb – hif'il,https://www.pealim.com/dict/957-lehachshir/,258
כָּשִׁיר,kashir,כ - שׁ - ר,Adjective,,,katil,,,"fit, qualified, competent",Adjective – katil pattern,https://www.pealim.com/dict/6877-kashir/,258
כִּישּׁוּרִים,kishurim,כ - שׁ - ר,Noun,masculine,,kittul,,,"qualifications, capacities","Noun – kittul pattern, masculine",https://www.pealim.com/dict/7108-kishurim/,258
לִכְתּוֹב,lichtov,כ - ת - ב,Verb,,pa'al,,,,to write,Verb – pa'al,https://www.pealim.com/dict/1-lichtov/,258
כִּיתּוּב,kituv,כ - ת - ב,Noun,masculine,,kittul,,,caption,"Noun – kittul pattern, masculine",https://www.pealim.com/dict/8111-kituv/,258
לְהִיכָּתֵב,lehikatev,כ - ת - ב,Verb,,nif'al,,,,to be written,Verb – nif'al,https://www.pealim.com/dict/958-lehikatev/,258
לְהִתְכַּתֵּב,lehitkatev,כ - ת - ב,Verb,,hitpa'el,,,,"to correspond, to exchange letters",Verb – hitpa'el,https://www.pealim.com/dict/960-lehitkatev/,258
כְּתוֹבֶת,ktovet,כ - ת - ב,Noun,feminine,,ktolet,,,address,"Noun – ktolet pattern, feminine",https://www.pealim.com/dict/3261-ktovet/,259
תִּכְתּוֹבֶת,tichtovet,כ - ת - ב,Noun,feminine,,tiktolet,,,"correspondence, mail exchange","Noun – tiktolet pattern, feminine",https://www.pealim.com/dict/3250-tichtovet/,259
כַּתָּב,katav,כ - ת - ב,Noun,masculine,,kattal,,,"reporter, journalist","Noun – kattal pattern, masculine",https://www.pealim.com/dict/6084-katav/,259
הִתְכַּתְּבוּת,hitkatvut,כ - ת - ב,Noun,feminine,,hitkattlut,,,correspondence (by mail),"Noun – hitkattlut pattern, feminine",https://www.pealim.com/dict/3016-hitkatvut/,259
כְּתִיבָה,ktiva,כ - ת - ב,Noun,feminine,,ktila,,,"writing (process), recording","Noun – ktila pattern, feminine",https://www.pealim.com/dict/2822-ktiva/,259
הַכְתָּבָה,hachtava,כ - ת - ב,Noun,feminine,,haktala,,,dictation,"Noun – haktala pattern, feminine",https://www.pealim.com/dict/2884-hachtava/,259
כַּתָּבָה,katava,כ - ת - ב,Noun,feminine,,kattala,,,"report, article (journalism)","Noun – kattala pattern, feminine",https://www.pealim.com/dict/3003-katava/,259
מִכְתָּב,michtav,כ - ת - ב,Noun,masculine,,miktal,,,"letter, message","Noun – miktal pattern, masculine",https://www.pealim.com/dict/3035-michtav/,259
כְּתָב,ktav,כ - ת - ב,Noun,masculine,,ktal,,,"writing, script","Noun – ktal pattern, masculine",https://www.pealim.com/dict/3052-ktav/,259
כַּתְבָן,katvan,כ - ת - ב,Noun,masculine,,katlan,,,"graphomaniac, pulp-writer","Noun – katlan pattern, masculine",https://www.pealim.com/dict/3436-katvan/,259
תַּכְתִּיב,tachtiv,כ - ת - ב,Noun,masculine,,taktil,,,"dictate, edict","Noun – taktil pattern, masculine",https://www.pealim.com/dict/3609-tachtiv/,259
כָּתוּב,katuv,כ - ת - ב,Adjective,,,katul,,,written,Adjective – katul pattern,https://www.pealim.com/dict/4061-katuv/,259
כְּתוּבִיּוֹת,ktuviyot,כ - ת - ב,Noun,feminine,,,,,subtitles (in video),Noun – feminine,https://www.pealim.com/dict/8825-ktuviyot/,259
לְהַכְתִּיב,lehachtiv,כ - ת - ב,Verb,,hif'il,,,,to dictate; to command,Verb – hif'il,https://www.pealim.com/dict/959-lehachtiv/,259
כְּתוּבָּה,ktuba,כ - ת - ב,Noun,feminine,,ktulla,,,"marriage contract (Judaism), ketubah","Noun – ktulla pattern, feminine",https://www.pealim.com/dict/9167-ktuba/,259
לְכַתֵּב,lechatev,כ - ת - ב,Verb,,pi'el,,,,to address; to add in address field (computer jargon); to engrave (biblical),Verb – pi'el,https://www.pealim.com/dict/2766-lechatev/,260
כְּתִיב,ktiv,כ - ת - ב,Noun,masculine,,ktil,,,"spelling, orthography","Noun – ktil pattern, masculine",https://www.pealim.com/dict/6194-ktiv/,260
כּוֹתֶל,kotel,כ - ת - ל,Noun,masculine,,kotel,,,wall; הכותל — the Western Wall,"Noun – kotel pattern, masculine",https://www.pealim.com/dict/5899-kotel/,260
כֶּתֶם,ketem,כ - ת - ם,Noun,masculine,,ketel,,,"stain, spot","Noun – ketel pattern, masculine",https://www.pealim.com/dict/3116-ketem/,260
כָּתוֹם,katom,כ - ת - ם,Adjective,,,katol,,,orange (colour),Adjective – katol pattern,https://www.pealim.com/dict/4322-katom/,260
מִכְתָּם,michtam,כ - ת - ם,Noun,masculine,,miktal,,,epigram,"Noun – miktal pattern, masculine",https://www.pealim.com/dict/7520-michtam/,260
לְהַכְתִּים,lehachtim,כ - ת - ם,Verb,,hif'il,,,,"to stain, to defame, to humiliate",Verb – hif'il,https://www.pealim.com/dict/961-lehachtim/,260
כּוּתְנָה,kutna,כ - ת - ן,Noun,feminine,,kutla,,,cotton,"Noun – kutla pattern, feminine",https://www.pealim.com/dict/7311-kutna/,260
כּוּתּוֹנֶת,kutonet,כ - ת - ן,Noun,feminine,,kuttolet,,,"shirt; pyjamas, nightgown","Noun – kuttolet pattern, feminine",https://www.pealim.com/dict/6453-kutonet/,260
כָּתֵף,katef,כ - ת - ף,Noun,feminine,,katel,,,shoulder (body part),"Noun – katel pattern, feminine",https://www.pealim.com/dict/3134-katef/,260
לְכַתֵּר,lechater,כ - ת - ר,Verb,,pi'el,,,,"to surround, to encircle",Verb – pi'el,https://www.pealim.com/dict/962-lechater/,260
לְהַכְתִּיר,lehachtir,כ - ת - ר,Verb,,hif'il,,,,to crown,Verb – hif'il,https://www.pealim.com/dict/963-lehachtir/,260
כֶּתֶר,keter,כ - ת - ר,Noun,masculine,,ketel,,,"crown, coronet, diadem; championship; crown (dentistry); crown (currency)","Noun – ketel pattern, masculine",https://www.pealim.com/dict/6482-keter/,260
כּוֹתֶרֶת,koteret,כ - ת - ר,Noun,feminine,,kotelet,,,"headline, title","Noun – kotelet pattern, feminine",https://www.pealim.com/dict/9201-koteret/,260
לְהִתְכַּתֵּשׁ,lehitkatesh,כ - ת - שׁ,Verb,,hitpa'el,,,,"to struggle, to clash",Verb – hitpa'el,https://www.pealim.com/dict/965-lehitkatesh/,260
מַכְתֵּשׁ,machtesh,כ - ת - שׁ,Noun,masculine,,maktel,,,mortar; crater,"Noun – maktel pattern, masculine",https://www.pealim.com/dict/3506-machtesh/,261
כְּתִישָׁה,ktisha,כ - ת - שׁ,Noun,feminine,,ktila,,,"crushing, grinding; bombing, shelling","Noun – ktila pattern, feminine",https://www.pealim.com/dict/7551-ktisha/,261
לִכְתּוֹשׁ,lichtosh,כ - ת - שׁ,Verb,,pa'al,,,,"to crush, to pulverise",Verb – pa'al,https://www.pealim.com/dict/964-lichtosh/,261
כַּת,kat,כ - ת - ת,Noun,masculine,,ketel,,,"sect, faction, caste; cult","Noun – ketel pattern, masculine",https://www.pealim.com/dict/7547-kat/,261
לִכְתּוֹת,lichtot,כ - ת - ת,Verb,,pa'al,,,,"to crush, to pulverize (bibl.)",Verb – pa'al,https://www.pealim.com/dict/5249-lichtot/,261
כִּיתָּה,kita,כ - ת - ת,Noun,feminine,,kitla,,,"form, grade, class (school); squad (army)","Noun – kitla pattern, feminine",https://www.pealim.com/dict/5793-kita/,261
לְ,le,-,Preposition,,,,,,"to; for; of (indicating possession, with יש/אין)",Preposition,https://www.pealim.com/dict/6014-le/,261
לֹא,lo,-,Particle,,,,,,no; not,Particle,https://www.pealim.com/dict/2943-lo/,261
לְאוֹרֶךְ,le'orech,-,Preposition,,,,,,"along, throughout",Preposition,https://www.pealim.com/dict/6378-leorech/,261
לְאַחַר,le'achar,-,Preposition,,,,,,after (a period of time; ש־ if used with a clause),Preposition,https://www.pealim.com/dict/6258-leachar/,261
לָאַחֲרוֹנָה,la'acharona,-,Adverb,,,,,,"lately, recently",Adverb,https://www.pealim.com/dict/7524-laacharona/,261
לְאַט,le'at,-,Adverb,,,,,,slowly,Adverb,https://www.pealim.com/dict/5236-leat/,261
לְהִילָּאוֹת,lehila'ot,ל - א - ה,Verb,,nif'al,,,,"to get tired, to despair (lit.)",Verb – nif'al,https://www.pealim.com/dict/8662-lehilaot/,261
לְהַלְאוֹת,lehal'ot,ל - א - ה,Verb,,hif'il,,,,"to make tired, to weary",Verb – hif'il,https://www.pealim.com/dict/2700-lehalot/,261
לִלְאוֹת,lil'ot,ל - א - ה,Verb,,pa'al,,,,to get tired (lit.),Verb – pa'al,https://www.pealim.com/dict/7394-lilot/,261
מַלְאָךְ,mal'ach,ל - א - ך,Noun,masculine,,miktal,,,"angel; messenger, emissary (biblical)","Noun – miktal pattern, masculine",https://www.pealim.com/dict/5331-malach/,262
מְלָאכוּתִי,melachuti,ל - א - ך,Adjective,,,,,,artificial,Adjective,https://www.pealim.com/dict/4232-melachuti/,262
לְאוֹם,le'om,ל - א - ם,Noun,,,,,,"nation, people",Noun,https://www.pealim.com/dict/6770-leom/,262
לְהַלְאִים,lehal'im,ל - א - ם,Verb,,hif'il,,,,to nationalise,Verb – hif'il,https://www.pealim.com/dict/967-lehalim/,262
לְאוּמִּי,le'umi,ל - א - ם,Adjective,,,,,,national,Adjective,https://www.pealim.com/dict/6771-leumi/,262
לְאָן,le'an,-,Adverb,,,,,,"where to, whither",Adverb,https://www.pealim.com/dict/5165-lean/,262
לֵב,lev,ל - ב - ב,Noun,masculine,,ketel,,,heart,"Noun – ketel pattern, masculine",https://www.pealim.com/dict/4353-lev/,262
לְלַבֵּב,lelabev,ל - ב - ב,Verb,,pi'el,,,,"to enchant, to capture someone's heart (lit.); to cook potato pancakes (lit.)",Verb – pi'el,https://www.pealim.com/dict/2423-lelabev/,262
לָבִיד,lavid,ל - ב - ד,Noun,masculine,,katil,,,plywood,"Noun – katil pattern, masculine",https://www.pealim.com/dict/6707-lavid/,262
לְהִתְלַבֵּט,lehitlabet,ל - ב - ט,Verb,,hitpa'el,,,,"to hesitate, to ponder",Verb – hitpa'el,https://www.pealim.com/dict/969-lehitlabet/,262
הִתְלַבְּטוּת,hitlabtut,ל - ב - ט,Noun,feminine,,hitkattlut,,,"indecision, having doubts","Noun – hitkattlut pattern, feminine",https://www.pealim.com/dict/3017-hitlabtut/,262
לְלַבּוֹת,lelabot,ל - ב - ה,Verb,,pi'el,,,,to fan (a flame),Verb – pi'el,https://www.pealim.com/dict/968-lelabot/,262
לָבִיא,lavi,-,Noun,,,,,,🦁 lion (lit.),Noun,https://www.pealim.com/dict/8714-lavi/,262
לִבְלוּב,livluv,ל - ב - ל - ב,Noun,masculine,,kittul,,,"blooming, blossoming, flowering; flourishing","Noun – kittul pattern, masculine",https://www.pealim.com/dict/9084-livluv/,262
לְלַבְלֵב,lelavlev,ל - ב - ל - ב,Verb,,pi'el,,,,"to bloom, to blossom",Verb – pi'el,https://www.pealim.com/dict/970-lelavlev/,262
מַלְבֵּן,malben,ל - ב - ן,Noun,masculine,,maktel,,,rectangle,"Noun – maktel pattern, masculine",https://www.pealim.com/dict/5485-malben/,263
לָבָן,lavan,ל - ב - ן,Adjective,,,katal,,,white,Adjective – katal pattern,https://www.pealim.com/dict/3333-lavan/,263
לְבָנָה,levana,ל - ב - ן,Noun,feminine,,ktala,,,moon (poetic),"Noun – ktala pattern, feminine",https://www.pealim.com/dict/4056-levana/,263
לְבֵנָה,levena,ל - ב - ן,Noun,feminine,,ktela,,,"brick, building block","Noun – ktela pattern, feminine",https://www.pealim.com/dict/4057-levena/,263
לוֹבֶן,loven,ל - ב - ן,Noun,masculine,,kotel,,,whiteness; white (of the eye),"Noun – kotel pattern, masculine",https://www.pealim.com/dict/5048-loven/,263
לְלַבֵּן,lelaben,ל - ב - ן,Verb,,pi'el,,,,"to heat, to make white-hot; to clarify",Verb – pi'el,https://www.pealim.com/dict/971-lelaben/,263
לְהַלְבִּין,lehalbin,ל - ב - ן,Verb,,hif'il,,,,"to whiten, to paint white; to become white",Verb – hif'il,https://www.pealim.com/dict/972-lehalbin/,263
לִלְבּוֹשׁ,lilbosh,ל - ב - שׁ,Verb,,pa'al,,,,"to put on (a garment), to wear",Verb – pa'al,https://www.pealim.com/dict/973-lilbosh/,263
לְהִתְלַבֵּשׁ,lehitlabesh,ל - ב - שׁ,Verb,,hitpa'el,,,,to dress oneself,Verb – hitpa'el,https://www.pealim.com/dict/974-lehitlabesh/,263
תִּלְבּוֹשֶׁת,tilboshet,ל - ב - שׁ,Noun,feminine,,tiktolet,,,"outfit, clothing","Noun – tiktolet pattern, feminine",https://www.pealim.com/dict/3251-tilboshet/,263
הַלְבָּשָׁה,halbasha,ל - ב - שׁ,Noun,feminine,,haktala,,,clothing; dressing (putting on dress),"Noun – haktala pattern, feminine",https://www.pealim.com/dict/2885-halbasha/,263
לְבוּשׁ,levush,ל - ב - שׁ,Noun,masculine,,ktul,,,"clothing, attire","Noun – ktul pattern, masculine",https://www.pealim.com/dict/3530-levush/,263
לָבוּשׁ,lavush,ל - ב - שׁ,Adjective,,,katul,,,"dressed, clothed",Adjective – katul pattern,https://www.pealim.com/dict/3531-lavush/,263
לְהַלְבִּישׁ,lehalbish,ל - ב - שׁ,Verb,,hif'il,,,,"to dress (someone), to vest (with power)",Verb – hif'il,https://www.pealim.com/dict/975-lehalbish/,263
לְהִילָּבֵשׁ,lehilavesh,ל - ב - ש,Verb,,nif'al,,,,"to be worn, to be put on (a garment)",Verb – nif'al,https://www.pealim.com/dict/6402-lehilavesh/,263
לְגַבֵּי,legabei,-,Preposition,,,,,,"regarding, concerning",Preposition,https://www.pealim.com/dict/5320-legabei/,264
מַלְגֵּז,malgez,ל - ג - ז,Noun,masculine,,maktel,,,oarlock; pitchfork (rare),"Noun – maktel pattern, masculine",https://www.pealim.com/dict/6662-malgez/,264
מַלְגֵּזָה,malgeza,ל - ג - ז,Noun,feminine,,maktela,,,forklift,"Noun – maktela pattern, feminine",https://www.pealim.com/dict/6663-malgeza/,264
לִיגְלוּג,liglug,ל - ג - ל - ג,Noun,masculine,,kittul,,,"belittlement, disparagement, ridicule","Noun – kittul pattern, masculine",https://www.pealim.com/dict/6939-liglug/,264
לְלַגְלֵג,lelagleg,ל - ג - ל - ג,Verb,,pi'el,,,,"to ridicule, to mock",Verb – pi'el,https://www.pealim.com/dict/976-lelagleg/,264
לִלְגּוֹם,lilgom,ל - ג - ם,Verb,,pa'al,,,,"to gulp, to swallow (a liquid)",Verb – pa'al,https://www.pealim.com/dict/977-lilgom/,264
לְדִבְרֵי,ledivrei,-,Preposition,,,,,,according to (also לדבריו/ה של...),Preposition,https://www.pealim.com/dict/3841-ledivrei/,264
הִתְלַהֲבוּת,hitlahavut,ל - ה - ב,Noun,feminine,,hitkattlut,,,enthusiasm,"Noun – hitkattlut pattern, feminine",https://www.pealim.com/dict/8004-hitlahavut/,264
לְהִתְלַהֵב,lehitlahev,ל - ה - ב,Verb,,hitpa'el,,,,to be enthusiastic,Verb – hitpa'el,https://www.pealim.com/dict/979-lehitlahev/,264
לְהִילָּהֵב,lehilahev,ל - ה - ב,Verb,,nif'al,,,,"to be enthusiastic (מ־, לגבי)",Verb – nif'al,https://www.pealim.com/dict/980-lehilahev/,264
לִלְהוֹב,lilhov,ל - ה - ב,Verb,,pa'al,,,,"to burn, to blaze (lit.)",Verb – pa'al,https://www.pealim.com/dict/2767-lilhov/,264
לֶהָבָה,lehava,ל - ה - ב,Noun,feminine,,kattala,,,"flame, tongue of fire","Noun – kattala pattern, feminine",https://www.pealim.com/dict/4213-lehava/,264
לְהַלְהִיב,lehalhiv,ל - ה - ב,Verb,,hif'il,,,,to excite,Verb – hif'il,https://www.pealim.com/dict/978-lehalhiv/,264
לְלַהֵט,lelahet,ל - ה - ט,Verb,,pi'el,,,,"to blaze, to burn intensely",Verb – pi'el,https://www.pealim.com/dict/8512-lelahet/,264
לִלְהוֹט,lilhot,ל - ה - ט,Verb,,pa'al,,,,"to burn, to blaze",Verb – pa'al,https://www.pealim.com/dict/981-lilhot/,264
לְהִתְלַהֵט,lehitlahet,ל - ה - ט,Verb,,hitpa'el,,,,"to heat, to be come hot",Verb – hitpa'el,https://www.pealim.com/dict/982-lehitlahet/,265
לַהַט,lahat,ל - ה - ט,Noun,masculine,,ketel,,,"heat, blaze; fervor, passion","Noun – ketel pattern, masculine",https://www.pealim.com/dict/5035-lahat/,265
לְהַלְהִיט,lehalhit,ל - ה - ט,Verb,,hif'il,,,,"to incite, to inflame, to excite",Verb – hif'il,https://www.pealim.com/dict/8262-lehalhit/,265
לָהִיט,lahit,ל - ה - ט,Noun,masculine,,katil,,,"hit, banger, very popular song (music); something fashionable, trending (coll.)","Noun – katil pattern, masculine",https://www.pealim.com/dict/6863-lahit/,265
לִלְהוֹת,lilhot,ל - ה - ה,Verb,,pa'al,,,,"to tire, to become tired (biblical)",Verb – pa'al,https://www.pealim.com/dict/6376-lilhot/,265
לְהֵיפֶךְ,lehefech,-,Adverb,,,,,,"on the contrary; backward, in the opposite direction, vice versa",Adverb,https://www.pealim.com/dict/8396-lehefech/,265
לְהַלָּן,lehalan,-,Adverb,,,,,,"following, hereinafter (Aramaic)",Adverb,https://www.pealim.com/dict/7570-lehalan/,265
לְהִתְלַהֵם,lehitlahem,ל - ה - ם,Verb,,hitpa'el,,,,"to criticise, to speak harshly",Verb – hitpa'el,https://www.pealim.com/dict/7610-lehitlahem/,265
לִיהוּק,lihuk,ל - ה - ק,Noun,masculine,,kittul,,,"casting, selecting a cast (cinema, theater)","Noun – kittul pattern, masculine",https://www.pealim.com/dict/9050-lihuk/,265
לַהֲקָה,lahaka,ל - ה - ק,Noun,feminine,,katla,,,"ensemble, band, choir","Noun – katla pattern, feminine",https://www.pealim.com/dict/6183-lahaka/,265
לַהַק,lahak,ל - ה - ק,Noun,masculine,,ketel,,,"flock (birds), school (fish); squadron","Noun – ketel pattern, masculine",https://www.pealim.com/dict/6184-lahak/,265
לְלַהֵק,lelahek,ל - ה - ק,Verb,,pi'el,,,,"to cast, to assemble a troupe (cinema, theatre, music)",Verb – pi'el,https://www.pealim.com/dict/6185-lelahek/,265
לְהִתְלַהֵק,lehitlahek,ל - ה - ק,Verb,,hitpa'el,,,,to flock together,Verb – hitpa'el,https://www.pealim.com/dict/6186-lehitlahek/,265
הַלְווָאָה,halva'a,ל - ו - א,Noun,feminine,,haktala,,,loan,"Noun – haktala pattern, feminine",https://www.pealim.com/dict/6335-halvaa/,265
לִווְייָתָן,livyatan,-,Noun,masculine,,,,,"🐳 whale; leviathan, sea monster (biblical)",Noun – masculine,https://www.pealim.com/dict/8475-livyatan/,265
לִווְייָתָן,livyatan,-,Noun,masculine,,,,,"whale; leviathan, sea monster (biblical)",Noun – masculine,https://www.pealim.com/dict/6398-livyatan/,266
לוּחַ,luach,-,Noun,masculine,,,,,"tablet, board; blackboard; table, list; calendar",Noun – masculine,https://www.pealim.com/dict/4204-luach/,266
לוּחִית,luchit,-,Noun,feminine,,,,,"plate, sign",Noun – feminine,https://www.pealim.com/dict/6633-luchit/,266
לְהָלִיט,lehalit,ל - ו - ט,Verb,,hif'il,,,,to cover (lit.),Verb – hif'il,https://www.pealim.com/dict/4927-lehalit/,266
הַלְווָיָה,halvaya,ל - ו - ה,Noun,feminine,,haktala,,,funeral,"Noun – haktala pattern, feminine",https://www.pealim.com/dict/7991-halvaya/,266
לִלְווֹת,lilvot,ל - ו - ה,Verb,,pa'al,,,,to borrow,Verb – pa'al,https://www.pealim.com/dict/983-lilvot/,266
לְהִתְלַוּוֹת,lehitlavot,ל - ו - ה,Verb,,hitpa'el,,,,"to join, to accompany",Verb – hitpa'el,https://www.pealim.com/dict/986-lehitlavot/,266
לַווְייָן,lavyan,ל - ו - ה,Noun,masculine,,katlan,,,satellite,"Noun – katlan pattern, masculine",https://www.pealim.com/dict/3437-lavyan/,266
לִיוּוּי,livuy,ל - ו - ה,Noun,masculine,,kittul,,,escort; accompanying,"Noun – kittul pattern, masculine",https://www.pealim.com/dict/2973-livuy/,266
לְהַלְווֹת,lehalvot,ל - ו - ה,Verb,,hif'il,,,,to lend,Verb – hif'il,https://www.pealim.com/dict/984-lehalvot/,266
לְהִילָּווֹת,lehilavot,ל - ו - ה,Verb,,nif'al,,,,"to accompany, to join",Verb – nif'al,https://www.pealim.com/dict/2774-lehilavot/,266
לְווַאי,levay,ל - ו - ה,Noun,masculine,,ktal,,,"modifier, attribute (grammar); after- (aftertaste, aftereffect — in smichut constructions)","Noun – ktal pattern, masculine",https://www.pealim.com/dict/9082-levay/,266
לְלַוּוֹת,lelavot,ל - ו - ה,Verb,,pi'el,,,,"to accompany, to escort",Verb – pi'el,https://www.pealim.com/dict/985-lelavot/,266
לוּל,lul,-,Noun,,,,,,chicken coop; playpen,Noun,https://www.pealim.com/dict/8982-lul/,266
לוּלֵא,lule,-,Adverb,,,,,,"were it not for, had it not been for",Adverb,https://www.pealim.com/dict/8549-lule/,266
לוּלָאָה,lula'a,-,Noun,,,,,,"loop, noose; loop, cycle (programming)",Noun,https://www.pealim.com/dict/6429-lulaa/,267
לוּלָב,lulav,-,Noun,masculine,,,,,"palm frond, lulav (Judaism)",Noun – masculine,https://www.pealim.com/dict/4922-lulav/,267
לְהִתְלוֹנֵן,lehitlonen,ל - ו - ן,Verb,,hitpa'el,,,,to complain,Verb – hitpa'el,https://www.pealim.com/dict/988-lehitlonen/,267
מָלוֹן,malon,ל - ו - ן,Noun,masculine,,miktal,,,hotel,"Noun – miktal pattern, masculine",https://www.pealim.com/dict/3726-malon/,267
תְּלוּנָה,tluna,ל - ו - ן,Noun,feminine,,tkula,,,complaint,"Noun – tkula pattern, feminine",https://www.pealim.com/dict/3740-tluna/,267
מְלוּנָה,meluna,ל - ו - ן,Noun,feminine,,mekula,,,"kennel, doghouse","Noun – mekula pattern, feminine",https://www.pealim.com/dict/3749-meluna/,267
לְהַלִּין,lehalin,ל - ו - ן,Verb,,hif'il,,,,to complain (lit.),Verb – hif'il,https://www.pealim.com/dict/3965-lehalin/,267
לְהָלִין,lehalin,ל - ו - ן,Verb,,hif'il,,,,"to accommodate, to host overnight; to delay, to postpone",Verb – hif'il,https://www.pealim.com/dict/3966-lehalin/,267
